2023-10-25
07 - 08,15.8
08 - 09,20.6
09 - 10,30.3
10 - 11,20.6
11 - 12,20.6
12 - 13,20.6
13 - 14,20.6
14 - 15,24.2
15 - 16,24.2
16 - 17,30.3
17 - 18,15.4
18 - 19,17.4
19 - 20,15.6
20 - 21,15.5
21 - 22,14.7
22 - 23,11.2
23 - 24,10.1
2023-11-09
00 - 01,8.1
01 - 02,8.0
02 - 03,7.5
03 - 04,4.8
04 - 05,8.8
05 - 06,9.0
06 - 07,10.1
07 - 08,13.3
08 - 09,14.5
09 - 10,14.7
10 - 11,13.3
11 - 12,12.1
12 - 13,11.8
13 - 14,13.3
14 - 15,15.5
15 - 16,12.2
16 - 17,14.1
17 - 18,14.5
18 - 19,15.3
19 - 20,15.4
20 - 21,13.5
21 - 22,11.6
22 - 23,10.1
23 - 24,10.2
2023-11-10
00 - 01,4.8
01 - 02,3.4
02 - 03,7.2
03 - 04,6.5
04 - 05,4.8
05 - 06,2.7
06 - 07,3.0
07 - 08,10.7
08 - 09,13.0
09 - 10,13.7
10 - 11,12.7
11 - 12,11.4
12 - 13,11.1
13 - 14,11.8
14 - 15,13.9
15 - 16,15.5
16 - 17,14.9
17 - 18,15.5
18 - 19,16.4
19 - 20,16.3
20 - 21,15.0
21 - 22,13.7
22 - 23,12.7
23 - 24,12.6
2023-11-15
00 - 01,7.5
01 - 02,9.8
02 - 03,9.2
03 - 04,8.8
04 - 05,8.6
05 - 06,9.0
06 - 07,9.8
07 - 08,15.2
08 - 09,14.8
09 - 10,15.6
10 - 11,14.7
11 - 12,13.6
12 - 13,13.2
13 - 14,12.1
14 - 15,16.3
15 - 16,12.9
16 - 17,14.7
17 - 18,14.9
18 - 19,15.5
19 - 20,15.7
20 - 21,14.7
21 - 22,13.3
22 - 23,11.8
23 - 24,11.1
2023-11-17
00 - 01,10.2
01 - 02,11.7
02 - 03,11.2
03 - 04,10.6
04 - 05,10.8
05 - 06,11.6
06 - 07,12.5
07 - 08,14.7
08 - 09,15.9
09 - 10,17.2
10 - 11,16.3
11 - 12,15.5
12 - 13,15.2
13 - 14,14.7
14 - 15,15.5
15 - 16,15.0
16 - 17,15.7
17 - 18,16.6
18 - 19,17.7
19 - 20,17.9
20 - 21,16.8
21 - 22,15.5
22 - 23,14.5
23 - 24,14.2
2023-11-20
00 - 01,9.7
